location_key,district,division,latitude,longitude,population,vulnerability_index,valid_from,valid_to,is_current
1,Barisal,Barisal,22.701,90.3535,2209000,6.06,2007-01-01,2021-12-31,False
2,Barisal,Barisal,22.701,90.3535,2350000,6.06,2022-01-01,,True
3,Bhola,Barisal,22.69,90.65,1786000,9.23,2007-01-01,2021-12-31,False
4,Bhola,Barisal,22.69,90.65,1900000,9.23,2022-01-01,,True
5,Patuakhali,Barisal,22.3596,90.3298,1504000,8.03,2007-01-01,2021-12-31,False
6,Patuakhali,Barisal,22.3596,90.3298,1600000,8.03,2022-01-01,,True
7,Chattogram,Chattogram,22.3569,91.7832,7144000,7.29,2007-01-01,2021-12-31,False
8,Chattogram,Chattogram,22.3569,91.7832,7600000,7.29,2022-01-01,,True
9,Cox's Bazar,Chattogram,21.4272,92.0058,2256000,4.86,2007-01-01,2021-12-31,False
10,Cox's Bazar,Chattogram,21.4272,92.0058,2400000,4.86,2022-01-01,,True
11,Cumilla,Chattogram,23.4607,91.1809,5640000,4.86,2007-01-01,2021-12-31,False
12,Cumilla,Chattogram,23.4607,91.1809,6000000,4.86,2022-01-01,,True
13,Feni,Chattogram,23.0159,91.3976,1410000,4.32,2007-01-01,2021-12-31,False
14,Feni,Chattogram,23.0159,91.3976,1500000,4.32,2022-01-01,,True
15,Noakhali,Chattogram,22.8696,91.0995,3008000,8.76,2007-01-01,2021-12-31,False
16,Noakhali,Chattogram,22.8696,91.0995,3200000,8.76,2022-01-01,,True
17,Dhaka,Dhaka,23.8103,90.4125,11280000,7.31,2007-01-01,2021-12-31,False
18,Dhaka,Dhaka,23.8103,90.4125,12000000,7.31,2022-01-01,,True
19,Gazipur,Dhaka,23.9999,90.4203,4700000,7.89,2007-01-01,2021-12-31,False
20,Gazipur,Dhaka,23.9999,90.4203,5000000,7.89,2022-01-01,,True
21,Narayanganj,Dhaka,23.6238,90.5,3290000,4.11,2007-01-01,2021-12-31,False
22,Narayanganj,Dhaka,23.6238,90.5,3500000,4.11,2022-01-01,,True
23,Tangail,Dhaka,24.2513,89.9167,3948000,9.33,2007-01-01,2021-12-31,False
24,Tangail,Dhaka,24.2513,89.9167,4200000,9.33,2022-01-01,,True
25,Khulna,Khulna,22.8456,89.5403,2256000,8.58,2007-01-01,2021-12-31,False
26,Khulna,Khulna,22.8456,89.5403,2400000,8.58,2022-01-01,,True
27,Satkhira,Khulna,22.7185,89.0705,1974000,5.17,2007-01-01,2021-12-31,False
28,Satkhira,Khulna,22.7185,89.0705,2100000,5.17,2022-01-01,,True
29,Bagerhat,Khulna,22.6602,89.7895,1504000,5.0,2007-01-01,2021-12-31,False
30,Bagerhat,Khulna,22.6602,89.7895,1600000,5.0,2022-01-01,,True
31,Mymensingh,Mymensingh,24.7471,90.4203,5264000,5.01,2007-01-01,2021-12-31,False
32,Mymensingh,Mymensingh,24.7471,90.4203,5600000,5.01,2022-01-01,,True
33,Jamalpur,Mymensingh,24.9375,89.9372,2256000,5.67,2007-01-01,2021-12-31,False
34,Jamalpur,Mymensingh,24.9375,89.9372,2400000,5.67,2022-01-01,,True
35,Rajshahi,Rajshahi,24.3745,88.6042,2444000,6.89,2007-01-01,2021-12-31,False
36,Rajshahi,Rajshahi,24.3745,88.6042,2600000,6.89,2022-01-01,,True
37,Bogura,Rajshahi,24.8465,89.3776,3384000,6.38,2007-01-01,2021-12-31,False
38,Bogura,Rajshahi,24.8465,89.3776,3600000,6.38,2022-01-01,,True
39,Pabna,Rajshahi,24.0064,89.2372,2444000,5.6,2007-01-01,2021-12-31,False
40,Pabna,Rajshahi,24.0064,89.2372,2600000,5.6,2022-01-01,,True
41,Rangpur,Rangpur,25.7439,89.2752,3008000,7.37,2007-01-01,2021-12-31,False
42,Rangpur,Rangpur,25.7439,89.2752,3200000,7.37,2022-01-01,,True
43,Kurigram,Rangpur,25.8054,89.6362,2067999,4.77,2007-01-01,2021-12-31,False
44,Kurigram,Rangpur,25.8054,89.6362,2200000,4.77,2022-01-01,,True
45,Lalmonirhat,Rangpur,25.9923,89.2847,1222000,5.61,2007-01-01,2021-12-31,False
46,Lalmonirhat,Rangpur,25.9923,89.2847,1300000,5.61,2022-01-01,,True
47,Sylhet,Sylhet,24.8949,91.8687,3572000,6.01,2007-01-01,2021-12-31,False
48,Sylhet,Sylhet,24.8949,91.8687,3800000,6.01,2022-01-01,,True
49,Sunamganj,Sylhet,25.0658,91.395,2538000,6.51,2007-01-01,2021-12-31,False
50,Sunamganj,Sylhet,25.0658,91.395,2700000,6.51,2022-01-01,,True
51,Habiganj,Sylhet,24.3745,91.4156,2067999,8.32,2007-01-01,2021-12-31,False
52,Habiganj,Sylhet,24.3745,91.4156,2200000,8.32,2022-01-01,,True
53,Moulvibazar,Sylhet,24.4829,91.7774,1974000,5.1,2007-01-01,2021-12-31,False
54,Moulvibazar,Sylhet,24.4829,91.7774,2100000,5.1,2022-01-01,,True
