shelter_key,shelter_name,facility_type,location_key,capacity
1,Bagerhat Cyclone Shelter #1,Cyclone Shelter,30,150
2,Bagerhat Primary School #2,Primary School,30,150
3,Bagerhat Community Hall #3,Community Hall,30,1000
4,Bagerhat Flood Shelter #4,Flood Shelter,30,300
5,Barisal Cyclone Shelter #1,Cyclone Shelter,2,200
6,Barisal Primary School #2,Primary School,2,200
7,Bhola Cyclone Shelter #1,Cyclone Shelter,4,150
8,Bhola Primary School #2,Primary School,4,1000
9,Bhola Community Hall #3,Community Hall,4,1000
10,Bhola Flood Shelter #4,Flood Shelter,4,750
11,Bogura Cyclone Shelter #1,Cyclone Shelter,38,750
12,Bogura Primary School #2,Primary School,38,500
13,Chattogram Cyclone Shelter #1,Cyclone Shelter,8,150
14,Chattogram Primary School #2,Primary School,8,150
15,Cox's Bazar Cyclone Shelter #1,Cyclone Shelter,10,200
16,Cox's Bazar Primary School #2,Primary School,10,750
17,Cumilla Cyclone Shelter #1,Cyclone Shelter,12,150
18,Cumilla Primary School #2,Primary School,12,750
19,Cumilla Community Hall #3,Community Hall,12,200
20,Cumilla Flood Shelter #4,Flood Shelter,12,1000
21,Feni Cyclone Shelter #1,Cyclone Shelter,14,1000
22,Feni Primary School #2,Primary School,14,750
23,Feni Community Hall #3,Community Hall,14,500
24,Feni Flood Shelter #4,Flood Shelter,14,200
25,Habiganj Cyclone Shelter #1,Cyclone Shelter,52,750
26,Habiganj Primary School #2,Primary School,52,300
27,Habiganj Community Hall #3,Community Hall,52,150
28,Jamalpur Cyclone Shelter #1,Cyclone Shelter,34,1000
29,Jamalpur Primary School #2,Primary School,34,500
30,Khulna Cyclone Shelter #1,Cyclone Shelter,26,300
31,Khulna Primary School #2,Primary School,26,200
32,Khulna Community Hall #3,Community Hall,26,200
33,Kurigram Cyclone Shelter #1,Cyclone Shelter,44,150
34,Kurigram Primary School #2,Primary School,44,150
35,Kurigram Community Hall #3,Community Hall,44,500
36,Lalmonirhat Cyclone Shelter #1,Cyclone Shelter,46,300
37,Lalmonirhat Primary School #2,Primary School,46,300
38,Moulvibazar Cyclone Shelter #1,Cyclone Shelter,54,300
39,Moulvibazar Primary School #2,Primary School,54,150
40,Moulvibazar Community Hall #3,Community Hall,54,1000
41,Moulvibazar Flood Shelter #4,Flood Shelter,54,500
42,Noakhali Cyclone Shelter #1,Cyclone Shelter,16,150
43,Noakhali Primary School #2,Primary School,16,500
44,Noakhali Community Hall #3,Community Hall,16,150
45,Noakhali Flood Shelter #4,Flood Shelter,16,750
46,Patuakhali Cyclone Shelter #1,Cyclone Shelter,6,1000
47,Patuakhali Primary School #2,Primary School,6,750
48,Patuakhali Community Hall #3,Community Hall,6,300
49,Satkhira Cyclone Shelter #1,Cyclone Shelter,28,200
50,Satkhira Primary School #2,Primary School,28,1000
51,Satkhira Community Hall #3,Community Hall,28,150
52,Satkhira Flood Shelter #4,Flood Shelter,28,150
53,Sunamganj Cyclone Shelter #1,Cyclone Shelter,50,200
54,Sunamganj Primary School #2,Primary School,50,300
55,Sunamganj Community Hall #3,Community Hall,50,150
56,Sunamganj Flood Shelter #4,Flood Shelter,50,200
57,Sylhet Cyclone Shelter #1,Cyclone Shelter,48,500
58,Sylhet Primary School #2,Primary School,48,300
59,Tangail Cyclone Shelter #1,Cyclone Shelter,24,1000
60,Tangail Primary School #2,Primary School,24,300
61,Tangail Community Hall #3,Community Hall,24,200
