fact_key,time_key,location_key,disaster_key,deaths,injured,displaced,houses_damaged,economic_loss_bdt
1,20071115,2,1,5,39,9113,856,18802011.69
2,20071116,2,1,3,17,3650,864,27137888.63
3,20071115,4,1,8,34,11081,2868,49627740.45
4,20071116,4,1,2,11,9662,670,33702421.39
5,20071115,6,1,6,34,11548,549,60359241.61
6,20071116,6,1,6,18,1431,1725,19870800.83
7,20071115,30,1,4,34,10287,5428,48127961.35
8,20071116,30,1,1,12,12439,326,15609545.58
9,20090525,28,2,8,14,2996,1330,45479744.15
10,20090526,28,2,1,6,1374,644,9682737.57
11,20090525,26,2,3,18,1939,365,25460798.44
12,20090526,26,2,1,9,1094,61,1890886.41
13,20090525,30,2,4,17,1157,584,15643503.5
14,20090526,30,2,2,7,1414,175,5794840.38
15,20170401,50,3,3,17,1677,481,40414413.94
16,20170402,50,3,5,14,5222,498,10453479.47
17,20170403,50,3,3,6,6664,2403,41223133.99
18,20170404,50,3,5,11,2790,872,5022252.24
19,20170405,50,3,1,10,4583,1069,27317667.85
20,20170406,50,3,2,7,1537,303,8771109.99
21,20170407,50,3,1,9,360,128,6024310.95
22,20170408,50,3,3,9,2478,1641,19367602.64
23,20170409,50,3,2,6,6876,105,11559811.7
24,20170410,50,3,0,11,4865,539,18288365.46
25,20170411,50,3,0,7,1561,600,7798359.78
26,20170412,50,3,1,14,3181,1011,15145455.56
27,20170413,50,3,0,4,1991,170,4791549.49
28,20170414,50,3,1,3,1284,124,6936179.5
29,20170415,50,3,0,1,1054,142,4422845.95
30,20170416,50,3,0,1,160,182,4227175.9
31,20170417,50,3,0,1,736,291,6677652.09
32,20170418,50,3,0,0,201,65,5430515.57
33,20170419,50,3,0,1,804,156,4082996.31
34,20170420,50,3,1,1,721,75,352193.98
35,20170401,52,3,3,16,7173,225,12280066.55
36,20170402,52,3,1,17,2355,658,13462854.72
37,20170403,52,3,4,21,3154,548,14179479.56
38,20170404,52,3,5,11,6953,1051,8941523.5
39,20170405,52,3,2,10,6564,199,39456050.4
40,20170406,52,3,0,9,1718,195,19404994.82
41,20170407,52,3,3,10,2729,970,21878853.76
42,20170408,52,3,4,11,5221,512,20204895.87
43,20170409,52,3,1,8,1339,169,7942578.82
44,20170410,52,3,4,4,2304,246,9570681.44
45,20170411,52,3,1,7,3522,503,8005725.62
46,20170412,52,3,1,4,556,52,6350209.55
47,20170413,52,3,1,4,1380,399,17267988.48
48,20170414,52,3,1,7,783,760,6354160.13
49,20170415,52,3,1,4,935,537,8331951.78
50,20170416,52,3,0,2,527,255,6875155.36
51,20170417,52,3,1,1,774,97,3961681.94
52,20170418,52,3,0,4,1700,122,418612.68
53,20170419,52,3,0,1,160,94,2618510.66
54,20170420,52,3,1,3,342,115,2895935.13
55,20170401,48,3,1,17,1963,368,16136442.94
56,20170402,48,3,2,14,568,227,9197661.33
57,20170403,48,3,3,12,1201,389,29014708.34
58,20170404,48,3,2,17,5271,742,12214808.64
59,20170405,48,3,2,15,1207,158,9526252.11
60,20170406,48,3,3,15,2506,1143,19706507.38
61,20170407,48,3,1,11,607,247,2627641.26
62,20170408,48,3,4,12,941,928,23513328.49
63,20170409,48,3,2,11,1877,2249,12544937.29
64,20170410,48,3,1,5,355,382,6397343.9
65,20170411,48,3,1,8,455,353,4357752.77
66,20170412,48,3,1,6,221,615,8583873.98
67,20170413,48,3,2,7,2637,1020,2969673.79
68,20170414,48,3,0,6,116,229,7829301.89
69,20170415,48,3,1,5,1297,156,8199561.78
70,20170416,48,3,0,5,581,85,6198028.18
71,20170417,48,3,2,3,711,50,5169857.32
72,20170418,48,3,0,0,2048,54,525758.75
73,20170419,48,3,0,3,1492,104,1129268.77
74,20170420,48,3,1,6,188,106,1938830.33
75,20200701,34,4,5,31,3011,1150,17198129.86
76,20200702,34,4,4,41,3761,631,7839060.5
77,20200703,34,4,6,33,1657,4117,21103928.82
78,20200704,34,4,7,38,6488,58,24317546.36
79,20200705,34,4,7,36,13836,2348,3685594.98
80,20200706,34,4,6,22,5967,2024,31626862.57
81,20200707,34,4,3,27,2892,612,61563185.89
82,20200708,34,4,4,23,8906,2231,4597034.05
83,20200709,34,4,4,32,1402,1469,26506566.17
84,20200710,34,4,7,29,5909,3725,21663049.48
85,20200711,34,4,2,20,4216,1374,32735387.02
86,20200712,34,4,0,18,2704,3437,32096114.9
87,20200713,34,4,3,27,9240,861,34307239.89
88,20200714,34,4,4,31,4057,216,20100761.69
89,20200715,34,4,6,30,7077,1992,18704215.5
90,20200716,34,4,1,21,3908,531,12915554.44
91,20200717,34,4,3,16,7311,1604,15288269.0
92,20200718,34,4,3,19,16562,1573,24663383.19
93,20200719,34,4,7,20,2002,865,6375898.89
94,20200720,34,4,2,22,1590,391,4836056.0
95,20200721,34,4,1,22,10087,769,12659887.78
96,20200722,34,4,2,25,4090,999,21385874.36
97,20200723,34,4,3,17,4600,1264,18169339.86
98,20200724,34,4,2,19,15120,345,29955972.54
99,20200725,34,4,2,12,1070,983,4445310.98
100,20200726,34,4,4,9,10907,687,28176658.94
101,20200727,34,4,2,20,1975,568,30878539.2
102,20200728,34,4,3,21,11731,327,9161204.14
103,20200729,34,4,2,10,2531,254,12801276.94
104,20200730,34,4,3,10,4982,397,3103185.35
105,20200731,34,4,1,13,4969,398,9727614.16
106,20200801,34,4,3,9,1255,119,6450981.35
107,20200802,34,4,0,7,4507,136,2408116.99
108,20200803,34,4,0,9,4087,456,5590862.25
109,20200804,34,4,1,12,557,262,18069475.4
110,20200805,34,4,2,3,1475,152,4214402.95
111,20200806,34,4,2,6,2291,129,4876145.38
112,20200807,34,4,1,5,2800,411,4274315.09
113,20200808,34,4,1,2,2157,99,6952860.87
114,20200809,34,4,0,7,2895,173,6449901.15
115,20200810,34,4,0,3,1515,406,4079729.98
116,20200811,34,4,1,6,949,497,9322132.01
117,20200812,34,4,1,8,1830,140,9444717.71
118,20200813,34,4,0,4,771,694,8621045.27
119,20200814,34,4,0,6,1721,217,3332284.41
120,20200815,34,4,1,7,128,195,5561087.97
121,20200701,44,4,10,36,9856,1305,16800344.71
122,20200702,44,4,6,28,6314,2373,24996360.16
123,20200703,44,4,5,31,21058,2951,58418588.84
124,20200704,44,4,5,33,13895,723,39348375.67
125,20200705,44,4,6,26,4053,1585,3296056.62
126,20200706,44,4,4,20,6990,1493,43102040.06
127,20200707,44,4,11,25,16746,3746,26202270.83
128,20200708,44,4,5,26,16142,377,30450835.3
129,20200709,44,4,7,26,11302,1819,7757125.84
130,20200710,44,4,7,33,10668,893,34705820.93
131,20200711,44,4,7,26,8017,2908,30998593.65
132,20200712,44,4,4,32,766,2478,18620843.18
133,20200713,44,4,6,24,7279,1575,3487856.78
134,20200714,44,4,4,18,3628,1310,4756076.96
135,20200715,44,4,9,18,8022,392,7901623.58
136,20200716,44,4,0,25,4038,725,8351430.48
137,20200717,44,4,3,27,10631,1256,34426020.31
138,20200718,44,4,1,21,4718,1723,30538515.14
139,20200719,44,4,6,17,5780,1077,31535152.7
140,20200720,44,4,2,9,6161,325,25774183.15
141,20200721,44,4,6,20,3867,2529,70610096.88
142,20200722,44,4,4,17,6184,895,31316549.21
143,20200723,44,4,4,22,3541,1782,23840459.4
144,20200724,44,4,2,16,3573,476,36810608.74
145,20200725,44,4,2,17,8434,904,46879139.89
146,20200726,44,4,5,7,738,238,17520643.05
147,20200727,44,4,3,13,546,237,13050247.31
148,20200728,44,4,2,12,2464,580,13324401.81
149,20200729,44,4,3,15,2123,782,20262238.67
150,20200730,44,4,1,6,1527,1394,4044294.69
151,20200731,44,4,1,9,1897,492,7741455.23
152,20200801,44,4,2,9,2705,1273,4767327.72
