fact_key,time_key,donor_key,disaster_key,organization_key,donation_amount_bdt,in_kind_value_bdt
1,20071122,5,1,6,91648.99,0
2,20071125,10,1,5,0,373035.71
3,20071203,8,1,7,149781.07,0
4,20071123,9,1,4,339512.36,0
5,20071124,9,1,7,172500.38,0
6,20071127,8,1,3,0,206731.62
7,20071207,12,1,2,399564.17,0
8,20071125,4,1,7,0,555690.12
9,20071127,1,1,3,0,166204.69
10,20071123,12,1,7,193139.27,0
11,20071128,11,1,7,0,532891.38
12,20071121,3,1,4,0,223652.94
13,20071204,3,1,5,0,210844.95
14,20071119,6,1,7,659900.24,0
15,20071203,8,1,1,69680.67,0
16,20071124,8,1,1,0,275607.17
17,20071127,7,1,7,255369.99,0
18,20071119,3,1,1,158020.58,0
19,20071116,5,1,3,361966.5,0
20,20071125,7,1,6,278580.32,0
21,20071129,6,1,7,233600.52,0
22,20071202,9,1,4,0,333299.24
23,20071121,11,1,6,0,706110.09
24,20071201,8,1,7,16945.66,0
25,20071201,10,1,1,109854.66,0
26,20071119,11,1,3,0,528790.49
27,20071120,12,1,1,272450.69,0
28,20071122,2,1,7,521713.52,0
29,20071126,2,1,4,141264.44,0
30,20071202,5,1,1,246851.06,0
31,20071119,1,1,3,179918.75,0
32,20071121,7,1,2,124952.01,0
33,20071202,7,1,5,213409.31,0
34,20071202,3,1,2,336988.95,0
35,20071124,10,1,7,50923.96,0
36,20071120,11,1,2,266425.1,0
37,20071130,10,1,2,210036.39,0
38,20071127,11,1,3,247906.86,0
39,20071125,11,1,1,0,241859.77
40,20071123,8,1,3,389770.82,0
41,20071122,3,1,1,166763.93,0
42,20071118,6,1,5,117335.37,0
43,20071205,7,1,6,170774.95,0
44,20071202,5,1,2,0,426046.39
45,20071201,8,1,1,148890.12,0
46,20071207,10,1,3,79994.1,0
47,20071121,12,1,3,384837.87,0
48,20071118,11,1,4,240594.27,0
49,20071120,10,1,7,587867.07,0
50,20071124,12,1,1,0,515218.0
51,20071121,12,1,4,0,58027.02
52,20071117,5,1,7,0,566571.74
53,20071120,10,1,7,549346.9,0
54,20071120,11,1,2,193462.42,0
55,20071201,11,1,7,0,644446.92
56,20071118,11,1,6,0,575388.26
57,20071126,11,1,1,0,422555.69
58,20071123,11,1,1,105251.94,0
59,20071126,8,1,1,26884.09,0
60,20071123,12,1,2,520830.71,0
61,20071128,5,1,3,0,705015.66
62,20071124,3,1,2,150563.18,0
63,20071127,9,1,3,87764.57,0
64,20071126,5,1,7,189595.26,0
65,20071118,8,1,7,544766.35,0
66,20071122,6,1,7,109456.75,0
67,20071121,2,1,2,0,284998.23
68,20071122,4,1,7,47362.6,0
69,20071121,11,1,4,0,274852.78
70,20071125,9,1,3,142835.15,0
71,20071126,7,1,1,95920.98,0
72,20071121,2,1,4,161520.24,0
73,20071126,12,1,6,296150.35,0
74,20071122,7,1,7,382520.23,0
75,20071128,6,1,1,186376.47,0
76,20071119,8,1,1,100011.83,0
77,20071123,9,1,3,0,66306.62
78,20071128,4,1,6,37986.61,0
79,20071206,8,1,6,342073.32,0
80,20071115,7,1,1,122934.5,0
81,20071117,1,1,3,0,327967.04
82,20071128,2,1,1,147782.34,0
83,20071122,9,1,2,83663.53,0
84,20071123,6,1,6,0,264509.09
85,20071122,12,1,5,194465.02,0
86,20071127,12,1,6,67990.7,0
87,20071116,7,1,6,465556.28,0
88,20071204,8,1,5,354730.79,0
89,20071119,5,1,1,227205.17,0
90,20071117,4,1,4,64156.09,0
91,20071123,4,1,7,199185.99,0
92,20071124,11,1,3,115928.14,0
93,20071125,11,1,3,196836.78,0
94,20071129,5,1,2,0,573346.84
95,20071123,8,1,1,250936.45,0
96,20071121,11,1,6,365296.08,0
97,20071201,1,1,1,0,165819.75
98,20071202,4,1,2,0,263862.41
99,20071126,4,1,1,0,518820.62
100,20071126,9,1,2,372530.84,0
101,20071119,4,1,3,0,631034.88
102,20071119,10,1,1,142976.46,0
103,20071116,3,1,2,317836.66,0
104,20071127,3,1,1,114527.4,0
105,20071121,1,1,2,155198.0,0
106,20071126,4,1,5,111412.07,0
107,20071128,3,1,3,176882.34,0
108,20071124,12,1,4,63949.09,0
109,20071122,12,1,1,67424.45,0
110,20071129,6,1,5,136603.2,0
111,20071121,8,1,5,170382.34,0
112,20071126,10,1,1,0,348498.27
113,20071208,11,1,5,40089.04,0
114,20071125,11,1,1,42904.37,0
115,20071125,8,1,7,509670.07,0
116,20071123,11,1,1,221249.47,0
117,20071121,8,1,1,0,89930.88
118,20071125,6,1,5,85884.31,0
119,20071126,3,1,3,159994.18,0
120,20071124,10,1,5,0,106714.78
121,20071210,7,1,5,227982.29,0
122,20071126,8,1,5,343026.95,0
123,20071123,2,1,7,0,286537.27
124,20071120,11,1,6,0,182325.89
125,20071204,9,1,6,0,357989.08
126,20071119,7,1,4,0,906873.85
127,20071119,7,1,3,0,166618.68
128,20071206,7,1,4,0,539820.87
129,20071124,6,1,4,181426.86,0
130,20071126,5,1,3,0,391313.87
131,20071121,11,1,4,290024.27,0
132,20071124,2,1,1,98421.62,0
133,20090613,5,2,4,150813.42,0
134,20090602,1,2,2,50718.17,0
135,20090610,8,2,4,133170.5,0
136,20090528,10,2,2,49833.03,0
137,20090530,12,2,3,0,2068.84
138,20090602,6,2,4,61404.66,0
139,20090529,6,2,5,201882.55,0
140,20090529,6,2,2,105228.11,0
141,20090531,5,2,4,28822.24,0
142,20090527,2,2,1,13689.85,0
143,20090601,7,2,7,35979.54,0
144,20090531,4,2,7,0,206534.89
145,20090613,6,2,5,0,54299.44
146,20090530,4,2,7,43588.76,0
147,20090610,9,2,4,163788.94,0
148,20090529,5,2,4,121785.57,0
149,20090601,7,2,5,27493.81,0
150,20090618,4,2,2,155356.75,0
151,20090618,1,2,1,155284.04,0
152,20090531,10,2,7,266012.11,0
153,20090605,8,2,3,18330.9,0
154,20090604,2,2,4,11354.98,0
155,20090530,5,2,6,95866.97,0
156,20090604,7,2,3,113922.87,0
157,20090526,1,2,5,35737.81,0
158,20090530,6,2,5,46827.11,0
159,20090528,7,2,5,156012.87,0
160,20090607,9,2,3,0,185575.99
161,20090605,10,2,6,140407.54,0
162,20090531,3,2,1,259375.84,0
163,20090530,6,2,5,0,51625.21
164,20090608,3,2,2,142416.23,0
165,20090527,7,2,5,103024.07,0
166,20090527,1,2,2,0,55117.43
167,20090601,8,2,5,144442.19,0
168,20090603,10,2,5,80839.92,0
169,20090528,10,2,3,31560.74,0
170,20090529,10,2,6,0,444198.77
171,20090606,10,2,3,95834.02,0
172,20090603,9,2,5,159720.46,0
173,20090528,10,2,3,15365.39,0
174,20090602,1,2,3,172058.03,0
175,20090607,2,2,4,99006.2,0
176,20090613,12,2,7,11737.08,0
177,20090607,1,2,5,109386.76,0
178,20090525,11,2,7,0,149220.21
179,20090530,10,2,5,185806.45,0
180,20090526,1,2,5,214683.3,0
181,20090531,9,2,6,0,214540.95
182,20090529,7,2,2,0,451099.06
183,20090610,4,2,1,99183.67,0
184,20090602,12,2,1,132417.45,0
185,20090609,8,2,3,37077.27,0
186,20090526,7,2,6,205019.32,0
187,20090611,9,2,7,88577.67,0
188,20090528,8,2,7,0,199132.67
189,20090601,12,2,1,0,28345.1
190,20090528,9,2,2,222924.27,0
191,20090528,11,2,4,212530.8,0
192,20090619,6,2,2,3812.37,0
193,20170429,2,3,2,73290.84,0
