fact_key,time_key,location_key,organization_key,disaster_key,shelter_key,personnel_deployed,vehicles_deployed,shelter_capacity,shelter_occupancy
1,20071115,2,6,1,6,43,4,200,193
2,20071115,2,7,1,,23,17,,
3,20071115,2,1,1,5,115,34,200,168
4,20071118,2,5,1,6,88,6,200,89
5,20071121,2,3,1,5,39,9,200,73
6,20071124,2,7,1,5,11,1,200,63
7,20071124,2,5,1,,26,6,,
8,20071127,2,2,1,6,31,6,200,86
9,20071130,2,7,1,5,41,2,200,45
10,20071203,2,4,1,6,6,1,200,84
11,20071206,2,7,1,6,19,2,200,56
12,20071206,2,4,1,6,65,3,200,56
13,20071209,2,1,1,5,26,2,200,38
14,20071115,4,2,1,,139,9,,
15,20071115,4,3,1,8,176,1,1000,633
16,20071115,4,1,1,7,7,32,150,115
17,20071118,4,3,1,,41,13,,
18,20071118,4,5,1,9,49,23,1000,1071
19,20071118,4,7,1,10,18,16,750,591
20,20071121,4,4,1,8,16,9,1000,1000
21,20071121,4,6,1,10,66,3,750,713
22,20071124,4,6,1,10,33,10,750,493
23,20071124,4,2,1,7,59,14,150,121
24,20071124,4,5,1,8,43,12,1000,371
25,20071127,4,7,1,,30,7,,
26,20071127,4,5,1,10,17,1,750,312
27,20071130,4,6,1,8,25,7,1000,404
28,20071130,4,2,1,,7,0,,
29,20071203,4,5,1,,48,4,,
30,20071203,4,6,1,8,18,6,1000,339
31,20071206,4,3,1,7,10,0,150,34
32,20071206,4,2,1,10,35,2,750,204
33,20071206,4,6,1,,25,3,,
34,20071209,4,4,1,8,22,1,1000,198
35,20071115,6,5,1,47,40,0,750,556
36,20071115,6,6,1,,295,2,,
37,20071115,6,4,1,46,13,17,1000,880
38,20071118,6,7,1,48,98,16,300,335
39,20071118,6,3,1,,80,5,,
40,20071121,6,5,1,46,45,16,1000,490
41,20071121,6,1,1,48,33,3,300,158
42,20071124,6,4,1,,93,10,,
43,20071124,6,5,1,,20,4,,
44,20071127,6,6,1,,51,6,,
45,20071127,6,4,1,46,60,8,1000,497
46,20071127,6,7,1,46,45,3,1000,631
47,20071130,6,6,1,48,18,3,300,102
48,20071130,6,5,1,47,55,3,750,367
49,20071203,6,5,1,,56,1,,
50,20071203,6,3,1,47,91,2,750,137
51,20071203,6,6,1,48,34,7,300,42
52,20071206,6,3,1,48,63,3,300,50
53,20071209,6,2,1,,14,0,,
54,20071209,6,7,1,48,22,6,300,61
55,20071209,6,6,1,,9,0,,
56,20071115,30,7,1,,83,22,,
57,20071115,30,5,1,4,62,3,300,170
58,20071118,30,1,1,4,57,12,300,126
59,20071118,30,2,1,,23,12,,
60,20071121,30,2,1,2,62,3,150,52
61,20071124,30,4,1,1,23,5,150,62
62,20071124,30,6,1,,135,4,,
63,20071127,30,7,1,1,40,0,150,101
64,20071127,30,2,1,1,75,7,150,100
65,20071127,30,6,1,1,43,1,150,103
66,20071130,30,1,1,,20,8,,
67,20071130,30,6,1,3,10,5,1000,403
68,20071203,30,6,1,,31,2,,
69,20071203,30,3,1,,15,7,,
70,20071203,30,4,1,2,117,4,150,58
71,20071206,30,2,1,2,12,0,150,15
72,20071206,30,5,1,,15,1,,
73,20071209,30,7,1,3,51,2,1000,197
74,20071209,30,4,1,,7,1,,
75,20090525,28,3,2,,42,2,,
76,20090525,28,6,2,,34,1,,
77,20090528,28,2,2,51,11,10,150,53
78,20090531,28,2,2,,46,1,,
79,20090603,28,1,2,52,7,5,150,113
80,20090603,28,2,2,,18,2,,
81,20090603,28,4,2,,56,3,,
82,20090606,28,6,2,,9,3,,
83,20090606,28,5,2,,46,4,,
84,20090606,28,3,2,49,4,2,200,115
85,20090609,28,4,2,51,6,3,150,48
86,20090609,28,6,2,51,27,4,150,54
87,20090612,28,1,2,49,21,1,200,43
88,20090612,28,3,2,51,4,3,150,64
89,20090612,28,4,2,49,21,0,200,83
90,20090615,28,5,2,49,5,1,200,47
91,20090615,28,7,2,50,10,1,1000,229
92,20090615,28,4,2,52,7,0,150,28
93,20090618,28,2,2,51,8,0,150,26
94,20090618,28,1,2,,3,2,,
95,20090618,28,4,2,50,10,1,1000,192
96,20090525,26,6,2,31,37,7,200,127
97,20090525,26,5,2,30,13,8,300,171
98,20090525,26,7,2,31,49,7,200,199
99,20090528,26,7,2,31,12,11,200,85
100,20090528,26,5,2,30,38,0,300,168
101,20090528,26,4,2,,48,3,,
102,20090531,26,2,2,30,17,6,300,282
103,20090531,26,6,2,,56,1,,
104,20090531,26,7,2,31,10,3,200,201
105,20090603,26,6,2,,28,8,,
106,20090606,26,3,2,32,45,4,200,67
107,20090606,26,1,2,31,64,5,200,106
108,20090606,26,5,2,,20,2,,
109,20090609,26,6,2,31,4,1,200,92
110,20090612,26,6,2,30,14,2,300,123
111,20090612,26,1,2,32,20,3,200,29
112,20090615,26,6,2,,16,1,,
113,20090615,26,1,2,30,2,0,300,68
114,20090615,26,5,2,31,4,0,200,41
115,20090618,26,2,2,,21,1,,
116,20090618,26,6,2,30,16,1,300,69
117,20090618,26,4,2,,9,1,,
118,20090525,30,3,2,,18,3,,
119,20090528,30,4,2,2,34,1,150,75
120,20090528,30,6,2,,23,4,,
121,20090531,30,6,2,,33,3,,
122,20090531,30,5,2,1,7,11,150,113
123,20090531,30,2,2,,13,12,,
124,20090603,30,2,2,2,24,7,150,53
125,20090603,30,3,2,3,19,4,1000,494
126,20090603,30,7,2,,2,3,,
127,20090606,30,2,2,,17,3,,
128,20090606,30,6,2,3,45,1,1000,557
129,20090609,30,5,2,,15,1,,
130,20090609,30,1,2,2,4,3,150,33
131,20090609,30,7,2,3,11,1,1000,344
132,20090612,30,1,2,3,9,0,1000,402
133,20090612,30,7,2,,22,4,,
134,20090612,30,6,2,,15,1,,
135,20090615,30,5,2,3,7,0,1000,99
136,20090615,30,6,2,,6,1,,
137,20090618,30,4,2,,7,0,,
138,20090618,30,2,2,,1,1,,
139,20170401,50,3,3,53,26,1,200,232
140,20170401,50,2,3,56,11,7,200,176
141,20170404,50,7,3,53,66,5,200,128
142,20170404,50,1,3,56,39,5,200,234
143,20170404,50,2,3,53,18,6,200,83
144,20170407,50,6,3,56,10,5,200,156
145,20170410,50,5,3,53,34,4,200,202
146,20170413,50,5,3,,36,1,,
147,20170416,50,7,3,,131,1,,
148,20170419,50,3,3,,29,1,,
149,20170419,50,5,3,,66,1,,
150,20170419,50,6,3,54,29,2,300,159
151,20170422,50,5,3,53,13,7,200,72
152,20170422,50,2,3,54,22,11,300,74
153,20170422,50,4,3,,23,1,,
154,20170425,50,5,3,55,13,2,150,78
155,20170425,50,4,3,,3,0,,
156,20170428,50,4,3,,14,1,,
157,20170428,50,5,3,55,7,1,150,36
158,20170428,50,3,3,56,8,1,200,70
159,20170501,50,7,3,54,8,1,300,46
160,20170504,50,1,3,56,16,0,200,32
161,20170504,50,5,3,54,0,2,300,49
162,20170507,50,2,3,53,6,1,200,35
163,20170507,50,3,3,,4,0,,
164,20170510,50,1,3,,8,1,,
165,20170510,50,5,3,55,7,0,150,15
166,20170513,50,6,3,,17,1,,
167,20170513,50,5,3,,11,1,,
168,20170401,52,2,3,26,47,17,300,323
169,20170401,52,1,3,26,117,4,300,232
170,20170404,52,3,3,25,22,5,750,360
171,20170407,52,6,3,,14,6,,
172,20170407,52,4,3,25,8,1,750,675
173,20170407,52,5,3,26,34,3,300,141
174,20170410,52,7,3,26,32,6,300,270
175,20170410,52,5,3,26,26,1,300,180
176,20170413,52,5,3,27,4,1,150,125
177,20170413,52,2,3,26,23,9,300,134
178,20170413,52,3,3,26,22,4,300,134
179,20170416,52,3,3,,31,0,,
180,20170416,52,6,3,27,20,4,150,79
181,20170419,52,3,3,26,10,4,300,143
182,20170422,52,1,3,27,9,5,150,60
183,20170422,52,5,3,27,21,2,150,83
184,20170425,52,6,3,27,14,0,150,46
185,20170428,52,4,3,,20,1,,
186,20170501,52,1,3,26,19,0,300,98
187,20170501,52,4,3,27,11,4,150,19
188,20170501,52,6,3,26,26,0,300,62
189,20170504,52,1,3,,13,1,,
190,20170504,52,4,3,26,4,0,300,61
191,20170507,52,5,3,26,14,4,300,33
192,20170507,52,6,3,,12,1,,
193,20170507,52,4,3,,4,0,,
194,20170510,52,6,3,,6,1,,
195,20170510,52,1,3,,4,5,,
196,20170510,52,7,3,27,16,1,150,16
197,20170513,52,1,3,,1,1,,
198,20170513,52,5,3,26,10,1,300,31
199,20170513,52,4,3,25,16,0,750,186
200,20170401,48,3,3,57,7,9,500,491
201,20170401,48,1,3,58,17,6,300,369
202,20170404,48,6,3,,41,3,,
203,20170404,48,2,3,,33,6,,
204,20170404,48,4,3,58,44,3,300,118
205,20170407,48,2,3,58,8,3,300,317
206,20170410,48,1,3,,42,12,,
207,20170413,48,7,3,57,20,7,500,320
208,20170416,48,1,3,57,29,2,500,214
209,20170416,48,2,3,58,21,1,300,198
210,20170419,48,2,3,,52,6,,
211,20170419,48,4,3,,25,2,,
212,20170422,48,6,3,,33,4,,
213,20170425,48,1,3,57,11,2,500,217
214,20170428,48,6,3,57,13,4,500,124
215,20170428,48,2,3,,36,2,,
216,20170428,48,4,3,58,11,2,300,119
217,20170501,48,6,3,57,9,0,500,101
218,20170501,48,4,3,57,10,0,500,170
219,20170501,48,2,3,58,2,1,300,56
220,20170504,48,4,3,,4,2,,
221,20170504,48,3,3,57,37,1,500,92
222,20170507,48,5,3,,1,1,,
223,20170510,48,5,3,,8,0,,
224,20170510,48,3,3,,2,0,,
225,20170510,48,1,3,57,4,0,500,124
226,20170513,48,4,3,,5,2,,
